用户ID,平台ID,帖子ID,原文作者,作者ID,根微博作者,认证类型,粉丝数,微博数,信源级别,性别,精准地域
JRTT_正义凛然帆船JQ,P_3,JRTT_202404052121_2014,正义凛然帆船JQ,2629620415596407,垚垚艳艳麻麻, ,12,23.0,未定义,无,内蒙古自治区
JRTT_小星在读点段子,P_3,JRTT_202404071226_2016,小星在读点段子,2245681900167731, ,普通用户,0,0.0,未定义,无,北京市
DY_刘 哇噻 哇噻 啊?,P_2,DY_202403311300_2017,刘 哇噻 哇噻 啊?,854050742, ,普通用户,28,108.0,未定义,无,内蒙古自治区
JRTT_hhhhh22288888,P_3,JRTT_202404092044_2018,hhhhh22288888,1103530542772686, , ,0,,未定义,无,内蒙古自治区
JRTT_高冷扑克Jp,P_3,JRTT_202404031107_2020,高冷扑克Jp,103260632438, , ,0,,未定义,无,内蒙古自治区
JRTT_喜欢微风的女孩,P_3,JRTT_202404051818_2021,喜欢微风的女孩,219510320401623, , ,0,0.0,未定义,无,内蒙古自治区
JRTT_小金讲事,P_3,JRTT_202404060300_2022,小金讲事,65161634485, ,普通用户,0,0.0,未定义,无,河南省
JRTT_早知道吃喝玩乐,P_3,JRTT_202404071925_2023,早知道吃喝玩乐,363299933266784, , ,0,,未定义,无,北京市
WYXW_娱乐小可爱蛙,P_1,WYXW_202404071300_2024,娱乐小可爱蛙, , ,1000101,3580,837.0,未定义,无,黑龙江省
DY_???川东阿哥?????4,P_2,DY_202403311108_2025,???川东阿哥?????4,baoqing888888888, ,普通用户,2693,36.0,未定义,无,内蒙古自治区
KS_山花烂慢,P_6,KS_202404030838_2027,山花烂慢,3xtw9c3tz25k382, ,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_美味大杂汇,P_3,JRTT_202404010021_2028,美味大杂汇,107698577766, ,普通用户,6419,251.0,未定义,无,内蒙古自治区
WB_徐辉18180492606,P_0,WB_202404042044_2029,徐辉18180492606,6359034171,蒙冤的体育老师,普通用户,2377,173147.0,未定义,女,浙江省
WYXW_椰青美食分享,P_1,WYXW_202404031107_2030,椰青美食分享, , ,1000101,4061,750.0,未定义,无,内蒙古自治区
JRTT_常行居士,P_3,JRTT_202404062147_2031,常行居士,57669934280,理性达人G, ,6133,872.0,未定义,无,内蒙古自治区
DY_李万林,P_2,DY_202404010437_2032,李万林,dyybggv5bo26, ,普通用户,633,48.0,未定义,无,内蒙古自治区
XHS_一个播音老师,P_4,XHS_202404081954_2034,一个播音老师,369851229, ,普通用户,400,0.0,未定义,无,河北省
JRTT_冷了,P_3,JRTT_202404062015_2035,冷了,1977337095137968, , ,0,,未定义,无,甘肃省
JRTT_开水浇花,P_3,JRTT_202404061024_2036,开水浇花,413037453916509, ,普通用户,0,0.0,未定义,无,内蒙古自治区
WB_桐谷遥玩四小倒老三,P_0,WB_202404011933_2038,桐谷遥玩四小倒老三,5937875438,请勿随地大小爹,普通用户,66,1095.0,未定义,女,四川省
VX_每日评书与相声,P_5,VX_202404010600_2039,每日评书与相声,mrpsyxs, , ,0,,未定义,无,内蒙古自治区
JRTT_炸了的生活百态,P_3,JRTT_202403311058_2040,炸了的生活百态,1829219596522040, , ,6011,2371.0,未定义,无,内蒙古自治区
DY_邪不胜正（书籍在橱窗）,P_2,DY_202404071829_2041,邪不胜正（书籍在橱窗）,FGSCH001, ,普通用户,231181,433.0,未定义,无,江苏省
WB_说好的5872,P_0,WB_202403311240_2042,说好的5872,6858239618, ,个人认证-金V,272237,4869.0,未定义,男,其他
DY_静闻花香,P_2,DY_202403310742_2043,静闻花香,jingwenhuaxi15, ,普通用户,2754,243.0,未定义,无,内蒙古自治区
DY_小小阿郭,P_2,DY_202404010021_2044,小小阿郭,13971108, ,普通用户,69,29.0,未定义,无,内蒙古自治区
DY_酒酿小七,P_2,DY_202403311349_2045,酒酿小七,48161150333, ,普通用户,94,74.0,未定义,无,内蒙古自治区
JRTT_画画论古今,P_3,JRTT_202404011451_2046,画画论古今,2977941414223357, , ,0,,未定义,无,其他
VX_大河报,P_5,VX_202403310531_2048,大河报,dahebao19950801, , ,0,,省级,无,河南省
JRTT_是但,P_3,JRTT_202403311707_2049,是但,78762250339144, , ,0,,未定义,无,内蒙古自治区
WB_老Q在上海,P_0,WB_202404022018_2050,老Q在上海,1925912100,凤凰网,普通用户,173371,14008.0,未定义,女,内蒙古自治区
JRTT_流星83404542,P_3,JRTT_202404021043_2051,流星83404542,6247313472,初八没烦恼, ,536,3230.0,未定义,无,甘肃省
WB_91道格苏,P_0,WB_202404022019_2053,91道格苏,7821848843,凤凰网,普通用户,6663,10948.0,未定义,男,内蒙古自治区
WB_jin菩提果,P_0,WB_202404011138_2054,jin菩提果,7289641660,蒙冤的体育老师,普通用户,1928,142217.0,未定义,女,浙江省
DY_带你飞②(001),P_2,DY_202403311224_2055,带你飞②(001),92746538890, ,普通用户,9801,16.0,未定义,无,内蒙古自治区
KS_兰花花    逗乐,P_6,KS_202404090858_2057,兰花花    逗乐,3xzpd5gfeu79a8w, ,普通用户,12265,313.0,未定义,无,内蒙古自治区
DY_太阳雨,P_2,DY_202404031335_2058,太阳雨,1263103005, ,普通用户,827,9.0,未定义,无,内蒙古自治区
JRTT_碎银几两,P_3,JRTT_202404060711_2059,碎银几两,3562009810183678, , ,0,,未定义,无,内蒙古自治区
WB_HLE-乌萨奇,P_0,WB_202404021859_2060,HLE-乌萨奇,6535154982,嫂嫂你别这样,普通用户,68,4592.0,未定义,女,内蒙古自治区
WYXW_起喜电影,P_1,WYXW_202403311715_2061,起喜电影, , ,1000101,10509,2830.0,未定义,无,内蒙古自治区
JRTT_诗意星辰,P_3,JRTT_202404010632_2062,诗意星辰,4208563383962605, , ,2356,677.0,未定义,无,内蒙古自治区
DY_爆料视频,P_2,DY_202403310806_2064,爆料视频,baoliaoshipin, ,普通用户,30149,292.0,未定义,无,内蒙古自治区
JRTT_总有一束光,P_3,JRTT_202404051919_2065,总有一束光,111187694421, ,普通用户,219,191.0,未定义,无,内蒙古自治区
WYXW_蓝小姐和黄小姐,P_1,WYXW_202404081259_2066,蓝小姐和黄小姐, , ,1000101,175844,54.0,未定义,无,台湾省
WB_驻马店强J冤案,P_0,WB_202404091437_2067,驻马店强J冤案,7899510019,蒙冤的体育老师,普通用户,1144,301.0,未定义,男,浙江省
WYXW_娱乐的硬糖吖,P_1,WYXW_202403312204_2068,娱乐的硬糖吖, , ,1000101,22976,3115.0,未定义,无,内蒙古自治区
DY_用户8337519226809,P_2,DY_202404011409_2070,用户8337519226809,96970257797, ,普通用户,67,9.0,未定义,无,内蒙古自治区
JRTT_房东家的啊猫3,P_3,JRTT_202404081327_2074,房东家的啊猫3,1344020115634051, , ,0,,未定义,无,江苏省
WB_bzd晴,P_0,WB_202404022111_2075,bzd晴,1285810094,凤凰网,普通用户,404,25038.0,未定义,女,内蒙古自治区
VX_左脑编程,P_5,VX_202404010600_2077,左脑编程,leftThinker, , ,0,,未定义,无,内蒙古自治区
JRTT_钊哥视角,P_3,JRTT_202404021130_2078,钊哥视角,2450186685388375, ,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_悠闲远山l,P_3,JRTT_202403311134_2079,悠闲远山l,3419895469453754, , ,0,,未定义,无,内蒙古自治区
JRTT_热心熊猫pw,P_3,JRTT_202404012335_2080,热心熊猫pw,103860869156,初八没烦恼, ,19,26.0,未定义,无,甘肃省
JRTT_兵哥的事,P_3,JRTT_202404020713_2081,兵哥的事,4251163289202089, , ,0,,未定义,无,安徽省
DY_小龙女妈妈,P_2,DY_202403311435_2083,小龙女妈妈,xiaolongnvma41, ,普通用户,15146,130.0,未定义,无,内蒙古自治区
JRTT_机智的鲸鱼sZ,P_3,JRTT_202404011247_2084,机智的鲸鱼sZ,968013829898248, , ,0,,未定义,无,内蒙古自治区
WYXW_莆农阿,P_1,WYXW_202404011516_2086,莆农阿, , , ,0,0.0,未定义,无,内蒙古自治区
DY_十字架,P_2,DY_202404011645_2087,十字架,91013802967, ,普通用户,13,,未定义,无,内蒙古自治区
WYXW_娱乐的硬糖吖,P_1,WYXW_202403310850_2088,娱乐的硬糖吖, , ,1000101,22976,3115.0,未定义,无,内蒙古自治区
DY_老玩童,P_2,DY_202404030028_2089,老玩童,56925088390, ,普通用户,830,332.0,未定义,无,内蒙古自治区
JRTT_甜甜吐槽,P_3,JRTT_202404061042_2090,甜甜吐槽,54187655846, ,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_小小的快乐生活,P_3,JRTT_202404080905_2091,小小的快乐生活,6011196136, ,普通用户,0,0.0,未定义,无,江苏省
JRTT_小伙子你很皮,P_3,JRTT_202404041533_2092,小伙子你很皮,2258809515946284, ,普通用户,0,0.0,未定义,无,境外
DY_红星?燃剪（书籍在橱窗）,P_2,DY_202404071319_2094,红星?燃剪（书籍在橱窗）,y2474206626, ,普通用户,347,33.0,未定义,无,江苏省
JRTT_成熟咖啡故事会,P_3,JRTT_202404011039_2095,成熟咖啡故事会,3993898768401943, , ,0,,未定义,无,湖北省
DY_芒果,P_2,DY_202403310330_2096,芒果,mangguo78243, ,普通用户,90,87.0,未定义,无,内蒙古自治区
DY_戴妹妹,P_2,DY_202404071811_2098,戴妹妹,92380852227, ,普通用户,242,,未定义,无,内蒙古自治区
JRTT_小李讲故事,P_3,JRTT_202404011409_2099,小李讲故事,1107922270560029, ,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_抖感生活,P_3,JRTT_202404071153_2100,抖感生活,74626729037, , ,60000,2454.0,未定义,无,内蒙古自治区
JRTT_豁达的月影,P_3,JRTT_202404070601_2101,豁达的月影,987831533051272, , ,0,,未定义,无,山西省
DY_汪洋中的船,P_2,DY_202404011044_2102,汪洋中的船,ghlmdybhwq, ,普通用户,338,1895.0,未定义,无,内蒙古自治区
DY_春天到了，大地穿上了绿色的军装,P_2,DY_202404072231_2103,春天到了，大地穿上了绿色的军装,woyikanweire, ,普通用户,1124,11079.0,未定义,无,内蒙古自治区
WB__Reno_挚爱FF,P_0,WB_202404021947_2104,_Reno_挚爱FF,1934276677,凤凰网,个人认证-金V,143082,78562.0,未定义,女,内蒙古自治区
JRTT_青衿,P_3,JRTT_202404021733_2105,青衿,1959744888387739, ,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_闻所未所闻,P_3,JRTT_202404061522_2106,闻所未所闻,2841611518357379, , ,0,0.0,未定义,无,内蒙古自治区
DY_光辉岁月，襄阳妹子????,P_2,DY_202404040615_2107,光辉岁月，襄阳妹子????,57415850298, ,普通用户,11702,894.0,未定义,无,内蒙古自治区
JRTT_风趣饭团zz,P_3,JRTT_202403311216_2108,风趣饭团zz,3408118118353511, , ,0,,未定义,无,内蒙古自治区
JRTT_一鹤,P_3,JRTT_202404031819_2109,一鹤,1891632510143452, , ,0,,未定义,无,内蒙古自治区
WB_椒哥微记录,P_0,WB_202403311311_2110,椒哥微记录,7209866866, ,个人认证-橙V,385230,73685.0,未定义,女,其他
DY_！/：,P_2,DY_202403311903_2111,！/：,30512636425, ,普通用户,25,5.0,未定义,无,河南省
WYXW_弱肉强食法则,P_1,WYXW_202404061112_2112,弱肉强食法则, , ,1001101,4220,843.0,未定义,无,内蒙古自治区
JRTT_岁末杂谈,P_3,JRTT_202403310835_2113,岁末杂谈,424872430026525, , ,0,,未定义,无,福建省
WB_像粗粮一样的apple,P_0,WB_202404030204_2114,像粗粮一样的apple,7419387154,凤凰网,普通用户,63,69050.0,未定义,女,内蒙古自治区
DY_蔣成功,P_2,DY_202404011653_2115,蔣成功,jiangchenggo28, ,普通用户,4986,16751.0,未定义,无,内蒙古自治区
WB_我不是谦哥儿,P_0,WB_202404021958_2116,我不是谦哥儿,1740006833,凤凰网,个人认证-橙V,1454910,22625.0,未定义,男,内蒙古自治区
DY_木子（?）,P_2,DY_202403311753_2117,木子（?）,muzi98591, ,普通用户,5569,2797.0,未定义,无,内蒙古自治区
JRTT_风水秦三爷,P_3,JRTT_202404020730_2118,风水秦三爷,562570890054013, ,普通用户,3543,707.0,未定义,无,上海市
WB_上校,P_0,WB_202404022322_2119,上校,1282484451,凤凰网,普通用户,29757,107369.0,未定义,男,内蒙古自治区
JRTT_星星聊颜值才华和人品,P_3,JRTT_202404021338_2122,星星聊颜值才华和人品,92502169531, ,普通用户,16399,1669.0,未定义,无,内蒙古自治区
JRTT_小何乐而不为（冲1000）,P_3,JRTT_202403312338_2123,小何乐而不为（冲1000）,104881411681, , ,0,,未定义,无,内蒙古自治区
KS_听海哭,P_6,KS_202404062155_2124,听海哭,3xgua9z4p9jgfb9, ,普通用户,0,,未定义,无,江西省
WYXW_燕梳楼2021,P_1,WYXW_202404012235_2125,燕梳楼2021, , , ,42087,2328.0,未定义,无,重庆市
JRTT_聪明的帆船vh,P_3,JRTT_202404011958_2126,聪明的帆船vh,382272453492055,初八没烦恼, ,46,14.0,未定义,无,甘肃省
JRTT_简爱,P_3,JRTT_202403311249_2127,简爱,3926241949,深圳新闻网, ,17,5.0,未定义,无,内蒙古自治区
XHS_小鱼laywer不喝冰美式,P_4,XHS_202404012107_2128,小鱼laywer不喝冰美式,9553262006, ,普通用户,40,0.0,未定义,无,重庆市
JRTT_寒末,P_3,JRTT_202404070815_2129,寒末,240128889986852, , ,0,,未定义,无,山西省
DY_带你飞②(001),P_2,DY_202403311453_2130,带你飞②(001),92746538890, ,普通用户,9809,16.0,未定义,无,内蒙古自治区
DY_吉祥如意。。。。,P_2,DY_202404012042_2131,吉祥如意。。。。,dy8mbbnnn5kb, ,普通用户,2001,5144.0,未定义,无,内蒙古自治区
JRTT_一往无前小猫7,P_3,JRTT_202403311011_2132,一往无前小猫7,255543456060540, , ,0,,未定义,无,内蒙古自治区
DY_唯一,P_2,DY_202404082327_2133,唯一,46091492788, ,普通用户,24228,804.0,未定义,无,内蒙古自治区
JRTT_月半,P_3,JRTT_202404082253_2134,月半,110367331850551, , ,1,0.0,未定义,无,内蒙古自治区
JRTT_越来风雨生,P_3,JRTT_202404070908_2135,越来风雨生,110578633621,豁达的月影, ,17,58.0,未定义,无,山西省
DY_长安看花,P_2,DY_202404012100_2137,长安看花,1732251163, ,普通用户,516,182.0,未定义,无,北京市
DY_rd,P_2,DY_202404011557_2138,rd,rd23703, ,普通用户,136,124.0,未定义,无,内蒙古自治区
WYXW_燕梳楼2021,P_1,WYXW_202404012235_2140,燕梳楼2021, , ,1000101,42087,2328.0,未定义,无,重庆市
WB_explorr,P_0,WB_202404022224_2141,explorr,7237898700,凤凰网,普通用户,32,1694.0,未定义,男,内蒙古自治区
DY_花儿2021,P_2,DY_202404010558_2142,花儿2021,huaer2021586, ,普通用户,1796,3302.0,未定义,无,内蒙古自治区
JRTT_子迁,P_3,JRTT_202404070802_2143,子迁,2729404917101923, , ,0,,未定义,无,上海市
JRTT_宇宙星云,P_3,JRTT_202404010814_2144,宇宙星云,105150036954, , ,86,160.0,未定义,无,内蒙古自治区
DY_缘来缘去,P_2,DY_202404012102_2145,缘来缘去,1047067410, ,普通用户,157,275.0,未定义,无,山东省
JRTT_敷衍,P_3,JRTT_202404020936_2146,敷衍,2194233867637091, ,普通用户,0,31.0,未定义,无,内蒙古自治区
JRTT_春日之虎,P_3,JRTT_202406240918_2147,春日之虎,61951289836,雨秋闲话, ,37000,4143.0,未定义,无,辽宁省
WB_滁熘钒,P_0,WB_202406261139_2148,滁熘钒,7300445872,秦二两99,普通用户,279,1577.0,未定义,女,内蒙古自治区
JRTT_宛如流竺,P_3,JRTT_202406251540_2149,宛如流竺,104657237299,未央史默, ,0,0.0,未定义,无,云南省
WB_小Yang困喔,P_0,WB_202406261424_2150,小Yang困喔,6327574500,秦二两99,普通用户,6,581.0,未定义,女,内蒙古自治区
WB_毛栗小5凉,P_0,WB_202406261011_2151,毛栗小5凉,5832189125,秦二两99,普通用户,152,26518.0,未定义,女,内蒙古自治区
DY_书签书屋,P_2,DY_202406192034_2153,书签书屋,69635322352, ,普通用户,54,0.0,未定义,无,境外
JRTT_雨碎江南彤,P_3,JRTT_202406251651_2154,雨碎江南彤,50259080996,未央史默, ,57,30.0,未定义,无,云南省
JRTT_清风拂面情感,P_3,JRTT_202406281805_2156,清风拂面情感,4334701698882235, ,普通用户,0,0.0,未定义,无,青海省
XHS_小红薯666F70BD,P_4,XHS_202406202000_2159,小红薯666F70BD,42134358845, ,普通用户,0,0.0,未定义,无,台湾省
WYXW_阿握看历史,P_1,WYXW_202406261354_2160,阿握看历史, , ,1001101,13,,未定义,无,境外
WYXW_雨秋闲话,P_1,WYXW_202406211728_2161,雨秋闲话, , , ,0,,未定义,无,四川省
JRTT_娱雪乐,P_3,JRTT_202406191349_2163,娱雪乐,3960902567342445, ,普通用户,0,0.0,未定义,无,香港特别行政区
WB_秦二两99,P_0,WB_202406222207_2164,秦二两99,7735375033,秦二两99,个人认证-橙V,107552,9596.0,未定义,男,山东省
WB_普噗普扑,P_0,WB_202406221457_2165,普噗普扑,7840530109,秦二两99,普通用户,8,197.0,未定义,男,山东省
XHS_众合法考法硕小钟老师,P_4,XHS_202406221654_2166,众合法考法硕小钟老师,ZH6766229374, ,普通用户,60,0.0,未定义,无,北京市
JRTT_MeiLiDeSenLin,P_3,JRTT_202406230547_2167,MeiLiDeSenLin,6049418317,雨秋闲话, ,3327,1329.0,未定义,无,辽宁省
DY_九顾书屋,P_2,DY_202406221307_2168,九顾书屋,xunwtpro, ,企业认证,5452,5.0,未定义,无,北京市
JRTT_桑代克的猹,P_3,JRTT_202406261159_2170,桑代克的猹,963634132696155, ,普通用户,1467000,0.0,未定义,无,云南省
JRTT_今日最精彩,P_3,JRTT_202406260155_2171,今日最精彩,3051897288670654, ,普通用户,0,0.0,未定义,无,河南省
JRTT_温读,P_3,JRTT_202406262254_2172,温读,57868257418, ,个人加V认证,512000,5050.0,未定义,无,上海市
JRTT_小熙熙说,P_3,JRTT_202406261701_2173,小熙熙说,3415547273820123, , ,0,0.0,未定义,无,甘肃省
WB_海之言cc,P_0,WB_202406222246_2175,海之言cc,7845887494,秦二两99,普通用户,8,256.0,未定义,女,山东省
JRTT_会谈敢侃,P_3,JRTT_202406261650_2176,会谈敢侃,1621141253012920, ,普通用户,0,0.0,未定义,无,内蒙古自治区
XHS_杭州众合俞老师,P_4,XHS_202406261027_2177,杭州众合俞老师,948570792, ,普通用户,50,0.0,未定义,无,北京市
WYXW_雨秋闲话,P_1,WYXW_202406211728_2178,雨秋闲话, , ,1001101,589,,未定义,无,四川省
XHS_众合法考法硕-陈老师（是活人）,P_4,XHS_202406212345_2179,众合法考法硕-陈老师（是活人）,CC156257, ,普通用户,300,0.0,未定义,无,北京市
JRTT_简单饭团wN,P_3,JRTT_202406222145_2180,简单饭团wN,2515287770662751,雨秋闲话, ,69,7074.0,未定义,无,辽宁省
WYXW_小盖纪实,P_1,WYXW_202406191016_2181,小盖纪实, , ,1002101,2553,,未定义,无,内蒙古自治区
WB_sours1,P_0,WB_202406222328_2184,sours1,7371233364,秦二两99,普通用户,91,346.0,未定义,男,山东省
JRTT_boy,P_3,JRTT_202406191917_2185,boy,1836618621653196, ,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_宅家森林,P_3,JRTT_202406201434_2189,宅家森林,103619687442,阿伟观察, ,171,563.0,未定义,无,内蒙古自治区
JRTT_阿SIR瞭望,P_3,JRTT_202406201044_2190,阿SIR瞭望,3706989038, ,个人加V认证,32000,2911.0,未定义,无,内蒙古自治区
WB_秦二两99,P_0,WB_202406221220_2192,秦二两99,7735375033, ,个人认证-橙V,107552,9596.0,未定义,男,山东省
VX_退休人家,P_5,VX_202406190729_2193,退休人家,huawl21h, , ,0,,未定义,无,广东省
VX_退休好时代,P_5,VX_202406190726_2194,退休好时代,tuixiuhaoshidai, , ,0,,未定义,无,广东省
DY_年年奶奶,P_2,DY_202406200449_2195,年年奶奶,dynxcun87yxk, ,普通用户,324,567.0,未定义,无,内蒙古自治区
WB_秦二两99,P_0,WB_202406241947_2196,秦二两99,7735375033, ,个人认证-橙V,107552,9596.0,未定义,男,内蒙古自治区
WB_没有永恒的黑夜,P_0,WB_202406242321_2197,没有永恒的黑夜,7722261180,秦二两99,普通用户,192,5375.0,未定义,男,内蒙古自治区
JRTT_快乐的芒果XR,P_3,JRTT_202406211133_2199,快乐的芒果XR,4002635334814235,阿伟观察, ,20,37.0,未定义,无,内蒙古自治区
JRTT_如果时光倒流,P_3,JRTT_202406210745_2200,如果时光倒流,85680319496,阿伟观察, ,70,580.0,未定义,无,内蒙古自治区
JRTT_神秘书签z,P_3,JRTT_202406210736_2201,神秘书签z,1648864110056638,阿伟观察, ,31,4.0,未定义,无,内蒙古自治区
JRTT_小林工作号,P_3,JRTT_202406210205_2202,小林工作号,1854206904385220, , ,946,0.0,未定义,无,内蒙古自治区
JRTT_乐观派LiaoZH,P_3,JRTT_202406211038_2205,乐观派LiaoZH,3029891659082334,阿伟观察, ,319,70.0,未定义,无,内蒙古自治区
JRTT_为你停劉110462151,P_3,JRTT_202406210745_2207,为你停劉110462151,6747852736,阿伟观察, ,2962,1046.0,未定义,无,内蒙古自治区
WB_秦二两99,P_0,WB_202406241947_2208,秦二两99,7735375033, ,个人认证-橙V,107552,9596.0,未定义,男,内蒙古自治区
WB_早狸,P_0,WB_202406220821_2209,早狸,7855872348, ,普通用户,272628,16386.0,未定义,女,内蒙古自治区
WB_199学无止境803,P_0,WB_202406240555_2210,199学无止境803,7842542464,百姓关注,普通用户,834,5875.0,未定义,男,内蒙古自治区
JRTT_雨秋闲话,P_3,JRTT_202406211731_2211,雨秋闲话,3237390522528520, ,普通用户,531,325.0,未定义,无,四川省
WB_众合法硕教育,P_0,WB_202406211727_2212,众合法硕教育,6041271617, ,企业认证,374849,18876.0,未定义,男,北京市
JRTT_柄良,P_3,JRTT_202410161538_2213,柄良,1885018855844760, , ,0,,未定义,无,其他
JRTT_活泼蛋糕XN,P_3,JRTT_202410161515_2214,活泼蛋糕XN,2796750170230948, , ,0,,未定义,无,其他
JRTT_雪夜de惊鸿,P_3,JRTT_202410121013_2215,雪夜de惊鸿,79280666863, ,个人加V认证,0,5758.0,未定义,无,内蒙古自治区
DY_谁动了我的花裤衩,P_2,DY_202410071322_2218,谁动了我的花裤衩,sdlwdhkc, ,普通用户,268,6.0,未定义,无,江苏省
JRTT_活泼蛋糕XN,P_3,JRTT_202410161517_2222,活泼蛋糕XN,2796750170230948, , ,0,,未定义,无,其他
WB_宋墨鸢,P_0,WB_202410081829_2223,宋墨鸢,7783552812, ,个人认证-橙V,163880,9195.0,未定义,女,北京市
DY_Sch?n und kraftvoll,P_2,DY_202410142159_2224,Sch?n und kraftvoll,28685502, ,普通用户,688,719.0,未定义,无,云南省
XHS_众合法考法硕李老师,P_4,XHS_202410110916_2226,众合法考法硕李老师,94119376286, ,普通用户,0,0.0,未定义,无,北京市
DY_春风意,P_2,DY_202410160356_2227,春风意,2209666641, ,普通用户,21,24.0,未定义,无,内蒙古自治区
JRTT_虞姬影视课,P_3,JRTT_202410161956_2228,虞姬影视课,3228588965114471, ,普通用户,0,0.0,未定义,无,江苏省
WB_NefertariAlive,P_0,WB_202410112200_2229,NefertariAlive,7690202140, ,普通用户,41,2316.0,未定义,女,其他
XHS_荷雨,P_4,XHS_202410111747_2230,荷雨,1032083568, ,普通用户,400,0.0,未定义,无,台湾省
KS_＄-＄,P_6,KS_202410072254_2231,＄-＄,2760419017, ,普通用户,823,1.0,未定义,无,云南省
KS_陌上花开?,P_6,KS_202410102206_2232,陌上花开?,350802321, ,普通用户,0,41.0,未定义,无,其他
KS_陌上花开?,P_6,KS_202410102300_2233,陌上花开?,350802321, ,普通用户,0,41.0,未定义,无,其他
DY_蚊子先生,P_2,DY_202410121731_2234,蚊子先生,wenxixiansheng88, ,普通用户,589,46.0,未定义,无,其他
KS_刘杰,P_6,KS_202410122206_2235,刘杰,1877431265, ,普通用户,0,1066.0,未定义,无,安徽省
DY_??,P_2,DY_202410071104_2236,??,28535388133, ,普通用户,401,257.0,未定义,无,山东省
WB_Lucky沁沁沁,P_0,WB_202404221807_2238,Lucky沁沁沁,1856571284,正宗爹味酱,普通用户,148,5861.0,未定义,女,广西壮族自治区
WB_小猫的一万个小时,P_0,WB_202404221227_2239,小猫的一万个小时,3748467824,正宗爹味酱,普通用户,53,3868.0,未定义,男,广西壮族自治区
WB_发电中持续发电中的KLL,P_0,WB_202404221244_2240,发电中持续发电中的KLL,6406318256,正宗爹味酱,普通用户,322,5307.0,未定义,女,广西壮族自治区
JRTT_砺剑V成锋,P_3,JRTT_202404252029_2241,砺剑V成锋,2819579745169856, , ,0,,未定义,无,内蒙古自治区
WB_安然_莲自在,P_0,WB_202404221442_2242,安然_莲自在,1858206212,正宗爹味酱,个人认证-达人,37790,22004.0,未定义,女,广西壮族自治区
WB_泠玥玥yue,P_0,WB_202404212345_2243,泠玥玥yue,6529352436,正宗爹味酱,普通用户,234,1275.0,未定义,女,广西壮族自治区
JRTT_看历史浮沉,P_3,JRTT_202404221841_2244,看历史浮沉,52777303942, ,普通用户,0,0.0,未定义,无,境外
WB_咔嚓嗷呜棒棒,P_0,WB_202404211753_2245,咔嚓嗷呜棒棒,1770750935,正宗爹味酱,普通用户,2095,9324.0,未定义,女,广西壮族自治区
WYXW_胡侃社会百态,P_1,WYXW_202404251439_2246,胡侃社会百态, , , ,9328,95.0,未定义,无,上海市
WB_雪霏Sophia,P_0,WB_202404221711_2247,雪霏Sophia,1691260001,正宗爹味酱,个人认证-金V,1100634,89869.0,未定义,女,广西壮族自治区
VX_夜伴慢读,P_5,VX_202404202144_2248,夜伴慢读,svip9937, , ,0,,未定义,无,内蒙古自治区
JRTT_清新葡萄V9,P_3,JRTT_202404221404_2249,清新葡萄V9,1005369229867720, ,普通用户,0,0.0,未定义,无,云南省
VX_中原网,P_5,VX_202404240535_2250,中原网,zynews, , ,0,,地市,无,河南省
WB_睡到春天尽头,P_0,WB_202404221744_2251,睡到春天尽头,3188196001,正宗爹味酱,个人认证-橙V,685,6663.0,未定义,女,广西壮族自治区
DY_荒岛海棠?【书籍在橱窗】,P_2,DY_202404251849_2252,荒岛海棠?【书籍在橱窗】,42454122537, ,普通用户,16880,198.0,未定义,无,江苏省
WB_在you酷看掌心,P_0,WB_202404221448_2253,在you酷看掌心,7899352126,正宗爹味酱,普通用户,34,5588.0,未定义,女,广西壮族自治区
DY_??五星燃剪·张纯如,P_2,DY_202404231216_2254,??五星燃剪·张纯如,mXm2024331, ,普通用户,4429,41.0,未定义,无,江苏省
WB_暮春的重瓣晚樱,P_0,WB_202404221625_2255,暮春的重瓣晚樱,7812397889,正宗爹味酱,普通用户,88,2022.0,未定义,女,广西壮族自治区
DY_圆莲,P_2,DY_202404261152_2256,圆莲,yuanlian8668, ,普通用户,0,0.0,未定义,无,内蒙古自治区
WB_幸运召唤师慕楠,P_0,WB_202404212302_2257,幸运召唤师慕楠,2060865993,正宗爹味酱,个人认证-橙V,67119,133223.0,未定义,女,广西壮族自治区
VX_佛教建筑,P_5,VX_202404260500_2258,佛教建筑,FoArch, , ,0,,未定义,无,山东省
WB_欣欣梦梦梦梦,P_0,WB_202404211731_2259,欣欣梦梦梦梦,7695316080,正宗爹味酱,普通用户,123,6541.0,未定义,女,广西壮族自治区
WB_我见青山多可笑,P_0,WB_202404221417_2260,我见青山多可笑,7454600726,正宗爹味酱,个人认证-橙V,146360,16722.0,未定义,男,广西壮族自治区
WB_灵羽子,P_0,WB_202404222322_2261,灵羽子,7284550678,正宗爹味酱,普通用户,105,20284.0,未定义,女,广西壮族自治区
KS_小徐徐燃剪（书籍在橱窗）,P_6,KS_202404261037_2262,小徐徐燃剪（书籍在橱窗）,3xukgwwb22cmedi, ,普通用户,0,,未定义,无,江苏省
