用户ID,作者ID,认证类型,粉丝数,微博数,信源级别,性别,精准地域
JRTT_微凉之夏11,2962507129432201, ,0,,未定义,无,内蒙古自治区
WYXW_网易戏局,T1543382491181,1000101,11818,,未定义,无,其他
JRTT_乐姐手工改造,93762012102,个人加V认证,224000,1224.0,未定义,无,山西省
JRTT_在远方的春天,67131675276,普通用户,788,2.0,未定义,无,江西省
DY_@桂花树下看月亮（3）,47560245668,普通用户,2475,1361.0,未定义,无,北京市
WYXW_王姐懒人家常菜,T1670555132650,1000101,31802,,未定义,无,内蒙古自治区
JRTT_奋发生活家,3103273634497242,普通用户,0,0.0,未定义,无,上海市
DY_耶丝来一点??,whywhywhyyepyep,普通用户,45,8.0,未定义,无,河北省
JRTT_棠梨说书馆,451278210335195,普通用户,0,0.0,未定义,无,福建省
DY_牛蔡,xiaoxiaohuay95,普通用户,46,64.0,未定义,无,山东省
JRTT_津云,3556495548,组织加V认证,1591000,135125.0,省级,无,天津市
DY_戴大师,ye5895376,普通用户,486,1190.0,未定义,无,湖南省
JRTT_川渝扯火杂谈,59076844597, ,6668,618.0,未定义,无,江西省
JRTT_风趣风筝zln,4059821177573276,普通用户,0,0.0,未定义,无,江西省
JRTT_骚男♂,104689063425,普通用户,0,0.0,未定义,无,江西省
JRTT_共探世界,104222208666,普通用户,0,0.0,未定义,无,江西省
DY_悠悠旅游车队?,Zcfgb5966993,普通用户,1237,2769.0,未定义,无,四川省
WYXW_天津广播,T1595317700366,1002101,67077,,省级,无,天津市
KS_安徽党媒云,3xvbvqyznw9b6nm,机构认证,0,,省级,无,内蒙古自治区
DY_三衢,966467694,机构认证,1017523,8625.0,地市,无,内蒙古自治区
JRTT_小政视频,51742692585,组织加V认证,15766,5337.0,地市,无,内蒙古自治区
DY_藤县融媒,2244333572,机构认证,2214611,23405.0,地市,无,内蒙古自治区
DY_哈尔滨日报,HaBaoMT,机构认证,1079602,18156.0,地市,无,黑龙江省
WB_头条新闻,1618051664,机构认证-媒体,110900624,306983.0,商业,女,内蒙古自治区
JRTT_蓬勃新闻,54614244073,组织加V认证,1165775,0.0,省级,无,内蒙古自治区
JRTT_内蒙古晨报,4030539676,组织加V认证,212877,32779.0,省级,无,内蒙古自治区
WB_泡沫爱恋的晴空,6214138492,个人认证-金V,143433,36002.0,未定义,女,广西壮族自治区
KS_搜狐新闻,3x9d7p5669y523u,机构认证,267711,5717.0,商业,无,内蒙古自治区
JRTT_宁县融媒,79446120937,组织加V认证,128698,19871.0,地市,无,内蒙古自治区
JRTT_浪涨新闻,92560234220,组织加V认证,769882,55656.0,地市,无,内蒙古自治区
DY_天眼新闻,tyxw,机构认证,2318740,37042.0,省级,无,内蒙古自治区
KS_藤县融媒,3xhhuhtneetrrag,机构认证,675133,10083.0,地市,无,内蒙古自治区
WB_新浪湖南,2311694415,机构认证-团体,1626863,94707.0,商业,男,内蒙古自治区
KS_长城新媒体,3xf336rpmyq6uta,机构认证,2897037,18204.0,省级,无,内蒙古自治区
WB_手机上的新浪,1712686623,机构认证-媒体,41239868,162927.0,商业,女,内蒙古自治区
WB_长江云新闻,1685715705,机构认证-媒体,5600237,132868.0,省级,男,内蒙古自治区
WB_封面新闻,1496814565,机构认证-媒体,33855737,228968.0,省级,女,内蒙古自治区
WB_Vista看天下,1323527941,机构认证-媒体,26063433,126230.0,中小,男,内蒙古自治区
WYXW_封面新闻, ,1002101,874663,6709.0,省级,无,内蒙古自治区
JRTT_平顶山日报,4738640058,组织加V认证,166240,24413.0,地市,无,内蒙古自治区
DY_越牛新闻,yueniunews,机构认证,4015780,14860.0,地市,无,内蒙古自治区
WB_新浪新闻,2028810631,机构认证-媒体,107078752,170692.0,商业,男,内蒙古自治区
WB_老友记TV,6304381077,机构认证-媒体,699278,25792.0,省级,男,内蒙古自治区
WB_新浪热点,2318910945,机构认证-媒体,78934689,173783.0,未定义,男,内蒙古自治区
WB_风闻社区,6508016609,机构认证-媒体,2522728,94604.0,省级,女,内蒙古自治区
WB_凤凰网,2615417307,机构认证-媒体,22014517,58489.0,商业,男,内蒙古自治区
JRTT_长江云新闻,5530277471,组织加V认证,6945721,28997.0,省级,无,内蒙古自治区
DY_二三里资讯,ersanlizixun,机构认证,2279007,18621.0,省级,无,内蒙古自治区
JRTT_小芸豆,1330830704383640, ,0,,未定义,无,内蒙古自治区
JRTT_封面新闻,52029171784,组织加V认证,3967954,318763.0,省级,无,内蒙古自治区
DY_南国都市报,nanguodushibao,机构认证,3451118,40610.0,省级,无,内蒙古自治区
DY_封面新闻,792619786,机构认证,32468113,46519.0,省级,无,内蒙古自治区
WB_我盆盆跨火而来,7387804570,个人认证-橙V,1322,7142.0,未定义,女,内蒙古自治区
WB_珪墨_lovelove萌萌,2967899683,普通用户,324,21762.0,未定义,女,内蒙古自治区
DY_车,84071946677,普通用户,9,15.0,未定义,无,内蒙古自治区
JRTT_深圳市麦嘉迪照明,108381371450, ,2787,2769.0,未定义,无,内蒙古自治区
DY_闻知天下,36554694505,普通用户,2579,57.0,未定义,无,内蒙古自治区
JRTT_西湖摆渡人,110998223123, ,0,,未定义,无,内蒙古自治区
VX_6点早听,fm6dian, ,0,,未定义,无,江西省
DY_崆峒融媒,1692499763,机构认证,139813,15777.0,地市,无,甘肃省
JRTT_西安网,3475474693,组织加V认证,827535,129367.0,地市,无,内蒙古自治区
DY_温州都市报,wd88868886,机构认证,2551885,12336.0,地市,无,内蒙古自治区
KS_崆峒融媒,3xjszwg6784c3jq,普通用户,0,10398.0,地市,无,内蒙古自治区
WB_臭豆腐酿鲱鱼,7189878204,个人认证-金V,154361,15445.0,未定义,男,浙江省
WB_废材狐三一,7281242705,普通用户,85,3807.0,未定义,女,四川省
WB_何以解忧唯有暴富OWO,5548306880,普通用户,41,9453.0,未定义,女,四川省
VX_爱上早读l,zaodu520, ,0,,未定义,无,江西省
WB_慕瑶瑶,5173146330,普通用户,2061,36206.0,未定义,女,四川省
WB_蒙冤的体育老师,5653014505,普通用户,1082,344.0,未定义,男,浙江省
WB_我都不太明白诶,6622694692,普通用户,203,769.0,未定义,男,四川省
WB_请勿随地大小爹,7743712301,个人认证-橙V,286623,6290.0,未定义,男,四川省
WB_赵姥姥曰,1846973325,个人认证-橙V,131588,46790.0,未定义,女,四川省
WB_再引天光,6744369938,普通用户,63,5817.0,未定义,女,四川省
JRTT_人生百态P3JR,98144176692, ,0,,未定义,无,内蒙古自治区
JRTT_腾蛇不是星宿,4498795461089812, ,2,13.0,未定义,无,内蒙古自治区
WB_TheMinitrue,7908663548,普通用户,1503,1422.0,未定义,男,河南省
WB_大理祥云,1108735350,个人认证-达人,25640,17726.0,未定义,女,内蒙古自治区
WB_矮周迅,1917502213,个人认证-金V,1251952,55568.0,未定义,女,重庆市
JRTT_墨儿娱乐,1605767010723608,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_东方影视fr3g,439392359948307,普通用户,1,30.0,未定义,无,内蒙古自治区
DY_重庆谭律师,dym6xrobbljm,其他认证,3767,17.0,未定义,无,内蒙古自治区
WB_雪烧曦山雾,7886727762,普通用户,496,1158.0,未定义,女,其他
JRTT_小雪天下事,4022486700663284, ,0,,未定义,无,内蒙古自治区
JRTT_WHHSY,1242916296338667, ,0,,未定义,无,内蒙古自治区
JRTT_猎秋社会摇,539241401812756, ,0,,未定义,无,内蒙古自治区
WB_努力攒钱的酱汁温泉蛋,2576476167,普通用户,136,12112.0,未定义,女,四川省
JRTT_清新百灵鸟JaC,3151630849555480, ,0,,未定义,无,内蒙古自治区
JRTT_善良圆月Fz,3090105456662083, ,0,,未定义,无,黑龙江省
WB_西子丹聊斋,3675736060,个人认证-金V,1293481,76656.0,未定义,男,内蒙古自治区
WB_王豆豆大大王,6122447337,普通用户,462,6331.0,未定义,女,其他
KS_930老友记,3x2wfsadntuub44,机构认证,543976,13469.0,未定义,无,内蒙古自治区
WB_春天了多喝点茶,3240573832,普通用户,23437,83254.0,未定义,女,内蒙古自治区
JRTT_YGL,1377001364273496, ,0,,未定义,无,内蒙古自治区
WB_伤心芭呐呐,6347336160,普通用户,14410,38738.0,未定义,女,浙江省
WB_winfreeed,3913612619,普通用户,1429,12728.0,未定义,女,其他
WB_快乐的60后小胖子,3241361350,个人认证-橙V,153264,13413.0,未定义,男,其他
WB_Fif_填坑版,1846591355,普通用户,57841,4570.0,未定义,女,其他
WB_白贝丹,5161693739,普通用户,290090,14633.0,未定义,女,内蒙古自治区
JRTT_超人族长一代,58195649041, ,0,0.0,未定义,无,内蒙古自治区
WB_齒掉小涉,7845159208,普通用户,251,8896.0,未定义,女,其他
WB_狐疑吱吱吱,1944093187,个人认证-金V,370101,30508.0,未定义,女,其他
WB_QUSHI1412,6105779201,普通用户,1067,28441.0,未定义,男,内蒙古自治区
JRTT_倔驴说段子,2087308072065856, ,0,,未定义,无,黑龙江省
JRTT_佬俵娱乐事,2335827530894032, ,0,,未定义,无,广东省
WB_布洛芬妮,6428090686,普通用户,1749,5025.0,未定义,女,其他
KS_橘落,3xswt363zcks5fi,普通用户,0,,未定义,无,山东省
JRTT_优美百灵鸟yy,1398183536629383, ,0,,未定义,无,内蒙古自治区
WB_坚持历史唯物主义,2289117232,普通用户,871,13403.0,未定义,男,其他
JRTT_逆生蒲公英,915214969345607, ,0,0.0,未定义,无,内蒙古自治区
DY_利辛县搬家公司欢迎你的来电,banjiagongsi15,普通用户,5917,8684.0,未定义,无,安徽省
JRTT_好学小红花,866042103991736, ,0,0.0,未定义,无,内蒙古自治区
JRTT_喵喵随笔,109500372769,普通用户,82,104.0,未定义,无,内蒙古自治区
DY_野七娱乐网,73650031117,普通用户,51,30.0,未定义,无,内蒙古自治区
WB_氧气减速带,6843512161,个人认证-橙V,1210,12147.0,未定义,女,其他
WB_放下责任奔向自由,7877861101,普通用户,164,17097.0,未定义,男,内蒙古自治区
WB_用户7872042604,7872042604,普通用户,0,184.0,未定义,女,内蒙古自治区
JRTT_热评女神,1278058387212763, ,0,,未定义,无,内蒙古自治区
WB_明天不喝茉莉奶绿,7711899763,普通用户,10,2913.0,未定义,女,其他
WB_小楼楼楼楼楼楼ou,5216879211,普通用户,9023,17718.0,未定义,女,其他
JRTT_爱生活的鲸鱼MRn,2220647365745406,普通用户,0,0.0,未定义,无,内蒙古自治区
WB_布哈拉丝绸游台湾,2571286965,个人认证-橙V,127257,42145.0,未定义,男,内蒙古自治区
WB_葬藍山_,7872005305,普通用户,399,1458.0,未定义,女,内蒙古自治区
WB_好好学习不要睡觉,7255661707,普通用户,386,3574.0,未定义,女,四川省
JRTT_谭谈三两事,110937064103,普通用户,0,0.0,未定义,无,山东省
JRTT_你为何如此优秀,110778190729, ,1,78.0,未定义,无,内蒙古自治区
WB_第十七号站停靠,7530009380,普通用户,502,9847.0,未定义,女,四川省
JRTT_冰糖,3380355512929739, ,0,,未定义,无,内蒙古自治区
JRTT_雲哥音乐会,99625067145, ,0,,未定义,无,海南省
JRTT_神藏,3371583219438298, ,0,,未定义,无,内蒙古自治区
KS_农夫5360,3xcysayfptdumu9,普通用户,220,87.0,未定义,无,河北省
JRTT_柳梦烟语,372109155241596, ,0,,未定义,无,内蒙古自治区
DY_紫微星,53883850639,普通用户,519,5663.0,未定义,无,内蒙古自治区
DY_王子犯法与庶民同罪,92394262207,普通用户,3596,2669.0,未定义,无,内蒙古自治区
WB_香城阿汪,7765080923,普通用户,31,466.0,未定义,男,其他
JRTT_热情的娱乐小咖,3799536707053875,普通用户,257,159.0,未定义,无,内蒙古自治区
JRTT_离开以后1999,111612084272, ,88,141.0,未定义,无,内蒙古自治区
DY_小樱桃?,li2023128,普通用户,266,85.0,未定义,无,内蒙古自治区
WB_羊就是咩咩叫mm,6548783116,普通用户,236,2946.0,未定义,女,内蒙古自治区
JRTT_笨小孩翻身记,4146953469826504, ,72010,1046.0,未定义,无,内蒙古自治区
JRTT_身心栖息地,3864139091945449, ,0,,未定义,无,内蒙古自治区
WB_電氣熊猫,2767621815,个人认证-达人,432,8601.0,未定义,女,其他
WYXW_大宗看萌宠, ,1000101,4894,1060.0,未定义,无,安徽省
JRTT_智恩徵,937220937354830, ,0,,未定义,无,河南省
JRTT_淡定花猫C,3707171568099965, ,0,,未定义,无,内蒙古自治区
JRTT_酒拾文案,1072718220108384,普通用户,12,1.0,未定义,无,内蒙古自治区
DY_$_飛_$短剧,84631201280,其他认证,7172,470.0,未定义,无,内蒙古自治区
WB_鉴定恶猫,7805775729,普通用户,11,1773.0,未定义,女,内蒙古自治区
JRTT_刘通律师,4328097325270544, ,1208,97.0,未定义,无,内蒙古自治区
JRTT_情暖人间585,67485235283, ,2001,498.0,未定义,无,内蒙古自治区
JRTT_莹莹说天下,62094159526, ,0,,未定义,无,其他
DY_??? ? ????·?归??零,44596546584,其他认证,943,4.0,未定义,无,内蒙古自治区
WB_一朵穿裤子的云biu,5618610982,普通用户,64,568.0,未定义,女,广东省
JRTT_乘风破浪的糯米JN,3070290094985069, ,0,,未定义,无,内蒙古自治区
DY_闻知天下,36554694505,其他认证,2539,57.0,未定义,无,湖北省
WB_深圳陶玥,7837433771,个人认证-橙V,400945,31224.0,未定义,女,内蒙古自治区
DY_不摇就滚,nono17866,其他认证,5279,37.0,未定义,无,内蒙古自治区
WB_小养开心,7788320517,普通用户,5,802.0,未定义,女,四川省
JRTT_逸可小轩风,4268779148673723, ,0,,未定义,无,内蒙古自治区
JRTT_端庄优雅水滴PG,272286606695151, ,0,,未定义,无,内蒙古自治区
JRTT_诺桐凡,1873981076944973, ,0,,未定义,无,内蒙古自治区
JRTT_温柔的大橙子,1838860868781575, ,0,,未定义,无,内蒙古自治区
JRTT_狗蛋说军,2430401288874608,普通用户,0,0.0,未定义,无,内蒙古自治区
WB_中原新哥,2170106721,个人认证-橙V,349764,40320.0,未定义,男,内蒙古自治区
JRTT_人生之路1949,4075205668640071, ,0,,未定义,无,内蒙古自治区
JRTT_追猫人,103615589014, ,0,,未定义,无,内蒙古自治区
WB_逢乔,7350850546,个人认证-橙V,8773,10471.0,未定义,女,其他
WB_逐浪嘲风,7877824324,个人认证-橙V,11506,4029.0,未定义,男,内蒙古自治区
JRTT_该犯困了,4475424891487162, ,0,,未定义,无,内蒙古自治区
WB_小黑嘿黑黑,2822369573,普通用户,5530,7987.0,未定义,女,其他
JRTT_开心姐,110938036364, ,0,,未定义,无,其他
JRTT_老王嘚啵嘚,1612344524549888, ,0,,未定义,无,内蒙古自治区
KS_新闻君,3x2dx2dsqpfqwjs,机构认证,0,0.0,未定义,无,内蒙古自治区
JRTT_老幺日记,2749252925915512,普通用户,0,,未定义,无,内蒙古自治区
JRTT_宇发商贸社区团购,92775382060,普通用户,58,116.0,未定义,无,其他
JRTT_单纯葡萄,2313808224721976,普通用户,0,0.0,未定义,无,河北省
DY_小轩?,52514858507,普通用户,35771,412.0,未定义,无,福建省
WYXW_一揽晚秋,T1707642580728,1001101,9,,未定义,无,北京市
JRTT_花放北山,103645121958,普通用户,1658,0.0,未定义,无,江西省
JRTT_黑鹰Talk,2348996005209309, ,223000,190.0,未定义,无,江西省
KS_-媄妻^,3212112300,普通用户,505,61.0,未定义,无,江苏省
JRTT_墨金农夫,3953453729842718, ,0,0.0,未定义,无,江西省
JRTT_热情的饼干ss,3156051144223747,普通用户,0,0.0,未定义,无,江西省
JRTT_小君说事,2107102291304655, ,0,0.0,未定义,无,江西省
JRTT_真真真哒,1929007802367715,普通用户,0,0.0,未定义,无,其他
WB_阙恩,1720020052,普通用户,96,30288.0,未定义,女,内蒙古自治区
JRTT_史观鉴赏,92831216574136, ,228000,59.0,未定义,无,江西省
JRTT_虔心闲谈,103518720291,普通用户,0,0.0,未定义,无,江西省
JRTT_老杨论车,926241432276876,普通用户,0,0.0,未定义,无,辽宁省
JRTT_佳伟侃娱,886643524907305,普通用户,0,0.0,未定义,无,江西省
WYXW_小李子体育,T1663651562143, ,0,,未定义,无,江西省
KS_泪痕.,3587504063,普通用户,418,73.0,未定义,无,河南省
JRTT_乐乐娱乐,2053491605910779,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_努力的小桐,103032895485,普通用户,16000,738.0,未定义,无,北京市
JRTT_归于·山海,70380262441,普通用户,986,0.0,未定义,无,内蒙古自治区
WYXW_娱乐的宅急便,T1670902486576, ,0,,未定义,无,北京市
JRTT_芬芳书单4x5U,63692812988, ,6,73.0,未定义,无,内蒙古自治区
JRTT_多才的彩笔,2148912623000396,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_自由的山丘,5991947095, ,0,4.0,未定义,无,内蒙古自治区
JRTT_正义凛然芒果cta,1148336740251847,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_乖巧饭团hOt,1103561273908798, ,0,,未定义,无,内蒙古自治区
JRTT_认真的橙子,4233584641058912,普通用户,0,0.0,未定义,无,内蒙古自治区
WB_用户6301503104,6301503104,普通用户,1,143.0,未定义,女,北京市
JRTT_豪豪大帅北,266522611170398,普通用户,0,0.0,未定义,无,重庆市
KS_爱看小说,1693652024,普通用户,747,17.0,未定义,无,广西壮族自治区
DY_上门理发9缘房东租房打车代驾h7h788,823597398,普通用户,2644,180.0,未定义,无,四川省
DY_大家都好才是真的好,allan6_6.,普通用户,328,53.0,未定义,无,北京市
WYXW_娱乐洞察点点,T1670896296971,1000101,6208,,未定义,无,福建省
WYXW_娱乐洞察点点,T1670896296971, ,0,,未定义,无,福建省
DY_乞力马扎罗的雪花???,czl.xhcz,普通用户,3042,179.0,未定义,无,黑龙江省
XHS_众合法考法硕--小白老师,ZH__shangan,普通用户,0,0.0,未定义,无,北京市
DY_用户2577656562552,70454840269,普通用户,1,110.0,未定义,无,吉林省
WYXW_一揽晚秋,T1707642580728, ,0,,未定义,无,北京市
JRTT_子健龙龙爱看书,3811377568815140,普通用户,0,0.0,未定义,无,河北省
DY_随性自由的山丘,hg3611,普通用户,1266,71.0,未定义,无,内蒙古自治区
WYXW_王姐懒人家常菜,T1670555132650, ,0,,未定义,无,内蒙古自治区
JRTT_月亮姐姐sz,67642110151,普通用户,5277,1824.0,未定义,无,内蒙古自治区
JRTT_万光柱,92467165902,个人加V认证,23942,3208.0,未定义,无,内蒙古自治区
JRTT_头条认真博主,3438887697661092, ,0,0.0,未定义,无,内蒙古自治区
JRTT_卖花生的香菜,3623594021643271, ,0,,未定义,无,内蒙古自治区
WB_LLS_莉莉絲,5995258968,个人认证-橙V,295045,12858.0,未定义,女,其他
WB_筒一下就狐力发电,5262025999,个人认证-橙V,2055,12622.0,未定义,女,广东省
DY_逸飛健康之路,Sxc62888,其他认证,123017,51.0,未定义,无,内蒙古自治区
WB_遇见舞人偶,6361708055,普通用户,446,5868.0,未定义,女,其他
DY_*花开若相惜*花落莫相离*,1564642265,其他认证,1795,94.0,未定义,无,内蒙古自治区
JRTT_九忒忒,4086247330940776, ,0,,未定义,无,内蒙古自治区
WB_囧兰胸-华纳今天暴毙了吗,1948771505,个人认证-橙V,37442,170971.0,未定义,女,内蒙古自治区
JRTT_小魏儿,160957131918584, ,0,,未定义,无,内蒙古自治区
JRTT_运筹帷幄饼干xJ,241514025854413, ,92,0.0,未定义,无,内蒙古自治区
JRTT_纵观陕北官方账号,50427843506, ,33000,10739.0,未定义,无,内蒙古自治区
JRTT_c明的生活,108046200194,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_优雅圆月up,100470122129,普通用户,25558,786.0,未定义,无,贵州省
WB_丸包专营店_与世无争版,7892096300,普通用户,35,1281.0,未定义,女,黑龙江省
JRTT_匆匆过路人123,2940731277, ,186,1797.0,未定义,无,内蒙古自治区
JRTT_富锅说点事,576617701443899,普通用户,0,0.0,未定义,无,内蒙古自治区
VX_爱上早读语音版l,zaodu521, ,0,,未定义,无,北京市
JRTT_酷縢818,610952107802013, ,4,5.0,未定义,无,内蒙古自治区
KS_主持人阳光,3xhngwbzjxigm7q,个人认证,366442,476.0,未定义,无,内蒙古自治区
JRTT_顶级饺子啊,4393246559051495, ,0,,未定义,无,内蒙古自治区
KS_悄漫雾,3xb5mmbjc865tcy,普通用户,0,0.0,未定义,无,四川省
DY_9，5.2.7,XX2570621047,其他认证,60706,285.0,未定义,无,内蒙古自治区
WYXW_泸沽湖, , ,0,,未定义,无,内蒙古自治区
JRTT_趣事杂货铺,2365783617319741,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_充满元气的King,2832792783428596,普通用户,0,16.0,未定义,无,内蒙古自治区
JRTT_戎州大叔,59408376473, ,0,,未定义,无,内蒙古自治区
KS_老河180563709,3xkxgmjdz75vwf9,普通用户,3275,3140.0,未定义,无,内蒙古自治区
KS_通辽网络,3xfd7v29iqf8xde,普通用户,0,0.0,未定义,无,内蒙古自治区
WB__蓝莓山,3256970980,普通用户,964,1866.0,未定义,女,其他
WB_紫荆树,1198220993,个人认证-橙V,2596692,68923.0,未定义,男,内蒙古自治区
WB_心有所壹的热可可,5079251748,个人认证-金V,15135,8375.0,未定义,女,其他
JRTT_我娱有约,3988641502204051,普通用户,41431,3427.0,未定义,无,内蒙古自治区
JRTT_梦想依然美好,3702934341, ,18,42.0,未定义,无,内蒙古自治区
DY_清竹飙文化,qzbwh001,企业认证,149639,141.0,未定义,无,内蒙古自治区
VX_朝闻悦读,gh_2e265d342459, ,0,,未定义,无,河南省
WB_Morichandesu__,7305678796,普通用户,63,7369.0,未定义,女,其他
JRTT_三衢新闻,51135829360,组织加V认证,30802,6118.0,未定义,无,内蒙古自治区
WB_大头猪志在饭桶江湖,3883366331,普通用户,565,75830.0,未定义,女,内蒙古自治区
JRTT_风景的心,109159661885, ,0,0.0,未定义,无,内蒙古自治区
WB_清泉Talk,2079631622,个人认证-橙V,291778,14814.0,未定义,男,内蒙古自治区
WB_penguin115_,3877966562,普通用户,248,3126.0,未定义,女,内蒙古自治区
JRTT_大事小情都知道,55423418770507, ,0,,未定义,无,内蒙古自治区
JRTT_遇见光,3759964079010324,普通用户,6723,73.0,未定义,无,内蒙古自治区
JRTT_正义永不缺席的,3010941016608832, ,0,,未定义,无,内蒙古自治区
JRTT_夜空,4224792382415312, ,0,,未定义,无,湖北省
WB_用户4333379597I2,7820266238,普通用户,259,9321.0,未定义,男,内蒙古自治区
WYXW_狐哥讲动物, ,1000101,0,0.0,未定义,无,内蒙古自治区
WB_小卡片害人,7839444243,普通用户,23968,8977.0,未定义,男,其他
VX_听闻天下AM,gh_18f3d78662fd, ,0,,未定义,无,湖南省
WB_正版叶栖羽,3686898424,普通用户,631,10973.0,未定义,女,北京市
WB_西西弗夫人,6369642060,普通用户,181,2098.0,未定义,女,内蒙古自治区
JRTT_感唔,92774085692781, ,1919,73.0,未定义,无,内蒙古自治区
KS_主持人王康,3x78jqu44z7bmzg,个人认证,0,,未定义,无,其他
JRTT_南阳金雅居全屋定制,78811944164,普通用户,13,142.0,未定义,无,内蒙古自治区
JRTT_林说故事,2931760026363008,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_高冷小羊,54364266889, ,0,,未定义,无,内蒙古自治区
WB_每天补充小狗能量,5208579179,个人认证-橙V,1070,2353.0,未定义,女,其他
WB_果川奇珍,6015612795,普通用户,65,2471.0,未定义,女,其他
WYXW_小小包工头阿汾, , ,0,0.0,未定义,无,内蒙古自治区
WYXW_小毅讲历史, , ,1806,191.0,未定义,无,其他
WB_晚晴重好个秋,7088711331,普通用户,372,5809.0,未定义,男,其他
WB_污盟主,3608830371,个人认证-金V,912036,27459.0,未定义,男,内蒙古自治区
JRTT_南方姑娘,1656314267969384,普通用户,0,0.0,未定义,无,内蒙古自治区
WB_晕丑,5982278942,普通用户,1143193,61768.0,未定义,女,内蒙古自治区
WB_神威雀,2093501983,个人认证-达人,238,35209.0,未定义,男,内蒙古自治区
JRTT_余梦,855886636257136, ,0,,未定义,无,内蒙古自治区
JRTT_盖饭娱乐,4418270632358835, ,0,5.0,中小,无,内蒙古自治区
JRTT_达文小火,104278762095,普通用户,946,35.0,未定义,无,内蒙古自治区
JRTT_笔耕不辍者,1946611702047460,普通用户,0,0.0,未定义,无,内蒙古自治区
WYXW_风云观察者, ,1001101,154,14.0,未定义,无,内蒙古自治区
JRTT_一举一动,109721013253,普通用户,0,0.0,未定义,无,内蒙古自治区
JRTT_爱吐槽的网文大呀,6662227925,普通用户,224,23.0,未定义,无,内蒙古自治区
DY_黑猫, ,普通用户,0,,未定义,无,内蒙古自治区
WB_X法师Tony,7898055547,普通用户,65181,894.0,未定义,女,其他
JRTT_勇往直前的鲸鱼AhO,61996707877956, ,0,0.0,未定义,无,内蒙古自治区
JRTT_李越峰lyf,5905604061,普通用户,88951,2264.0,未定义,无,境外
DY_菜包包,53109311296,普通用户,1805,142.0,未定义,无,内蒙古自治区
JRTT_牛牛故事,468870442792475,普通用户,0,0.0,未定义,无,内蒙古自治区
DY_痴藜,1224283948,普通用户,5,0.0,未定义,无,内蒙古自治区
WB_虚拟的积分,7424855607,普通用户,500,67238.0,未定义,女,四川省
WB_小猪泫尼,7403699792,个人认证-橙V,1375,4622.0,未定义,男,其他
WB_我怎么是个文盲啊,6627029382,个人认证-橙V,1684,3911.0,未定义,女,其他
DY_高院侯老师,Zhoulv946,普通用户,163,18.0,未定义,无,内蒙古自治区
WB_法者青锋,1231253604,个人认证-橙V,525734,12073.0,未定义,男,内蒙古自治区
WB_夏威夷的心尖痣,5760755402,普通用户,148,6468.0,未定义,女,其他
JRTT_紫气东来1982,3087056543681198, ,26,42.0,未定义,无,内蒙古自治区
WB_毛茸茸滴爪子,1749658624,普通用户,6327,35077.0,未定义,男,内蒙古自治区
WB_超绝强壮大草莓,3599453414,个人认证-橙V,1124,13482.0,未定义,女,其他
WB_Dreamwork827,7741201502,个人认证-橙V,156932,16039.0,未定义,男,内蒙古自治区
JRTT_永远快乐,2893508843942792, ,0,42.0,未定义,无,内蒙古自治区
WB_神风化劫,7843564222,普通用户,233,968.0,未定义,男,内蒙古自治区
JRTT_小蜗牛文明,3575266028567908, ,0,0.0,未定义,无,内蒙古自治区
JRTT_青岛&装卸工,655739861083454, ,0,0.0,未定义,无,内蒙古自治区
DY_小新嘚吧嘚,8743657914_8686,普通用户,1605,71.0,未定义,无,内蒙古自治区
WB_爆炸月崽,7076875331,个人认证-橙V,99577,1924.0,未定义,女,上海市
JRTT_机智的西柚R,3021090459498300, ,124,36.0,未定义,无,内蒙古自治区
WB_深海划人,3970148894,普通用户,629,4343.0,未定义,女,其他
WB_蕾想壕啊,1761170891,普通用户,426,23893.0,未定义,女,其他
JRTT_朝花夕拾jw,107798636653, ,2334,1193.0,未定义,无,内蒙古自治区
JRTT_爱学习的小雪儿,34798308691671, ,0,0.0,未定义,无,内蒙古自治区
JRTT_巴肥特说农业,505364345788296, ,0,,未定义,无,内蒙古自治区
WB_见证布朗尼,6356771720,个人认证-橙V,589056,15427.0,未定义,女,内蒙古自治区
JRTT_自由的高山tmJ,1154910743437736, ,0,,未定义,无,其他
WB_木_易912,6132648182,个人认证-金V,100089,14268.0,未定义,女,其他
JRTT_柠檬小清新h,2966945372061228,普通用户,0,0.0,未定义,无,广东省
DY_东风,81309147420,其他认证,2,3.0,未定义,无,内蒙古自治区
JRTT_大泽鲁风,13520246630, ,0,,未定义,无,内蒙古自治区
WB_-时沐沐沐沐沐,2301778505,普通用户,511,9781.0,未定义,女,其他
WB_老公批毛十米,7342174170,普通用户,130,3874.0,未定义,女,内蒙古自治区
WB_酸山山,6441774999,普通用户,34,8243.0,未定义,女,其他
JRTT_独见解构,838308165583243,普通用户,0,,未定义,无,内蒙古自治区
DY_清秋雨霁,28381405377,普通用户,1056,60.0,未定义,无,其他
WB_TOP登录少年-右航,7767032418,普通用户,96,1598.0,未定义,女,其他
JRTT_初闻天下,2852608584988604, ,0,,未定义,无,内蒙古自治区
