帖子ID,平台ID,平台名称,媒体类型
JRTT_202408161054_3196,P_3,今日头条,客户端
JRTT_202408151551_3197,P_3,今日头条,客户端
JRTT_202408142038_3198,P_3,今日头条,视频
JRTT_202408151010_3199,P_3,今日头条,视频
WB_202408142344_3200,P_0,微博,微博
WB_202408151132_3202,P_0,微博,微博
JRTT_202408150812_3203,P_3,今日头条,客户端
JRTT_202408150609_3206,P_3,今日头条,客户端
JRTT_202408140822_3208,P_3,今日头条,客户端
WB_202408151027_3209,P_0,微博,微博
JRTT_202408150903_3211,P_3,今日头条,客户端
JRTT_202408141025_3212,P_3,今日头条,客户端
JRTT_202408150711_3213,P_3,今日头条,客户端
JRTT_202408171049_3214,P_3,今日头条,客户端
JRTT_202408150652_3215,P_3,今日头条,客户端
WB_202408151427_3217,P_0,微博,微博
WB_202408150236_3219,P_0,微博,微博
JRTT_202408150827_3220,P_3,今日头条,客户端
KS_202408161002_3221,P_4,快手,视频
WB_202408141951_3224,P_0,微博,微博
WYXW_202408141603_3225,P_5,网易新闻,客户端
WB_202408151446_3227,P_0,微博,微博
JRTT_202408151104_3229,P_3,今日头条,客户端
WYXW_202408140929_3230,P_5,网易新闻,客户端
WB_202408141932_3231,P_0,微博,微博
JRTT_202408150612_3232,P_3,今日头条,客户端
WB_202408300952_3234,P_0,微博,微博
WB_202409012120_3236,P_0,微博,微博
JRTT_202409041806_3237,P_3,今日头条,客户端
WB_202409012245_3238,P_0,微博,微博
WB_202409012305_3239,P_0,微博,微博
DY_202409011115_3241,P_2,抖音,视频
DY_202408301039_3243,P_2,抖音,视频
WB_202408300844_3244,P_0,微博,微博
DY_202408311156_3246,P_2,抖音,视频
WB_202408312311_3247,P_0,微博,微博
WB_202408311307_3248,P_0,微博,微博
DY_202409051922_3249,P_2,抖音,视频
KS_202409012012_3250,P_4,快手,视频
WB_202408301531_3251,P_0,微博,微博
WB_202408300858_3252,P_0,微博,微博
WB_202409011652_3253,P_0,微博,微博
WB_202408311818_3254,P_0,微博,微博
DY_202408312033_3255,P_2,抖音,视频
WB_202408300725_3256,P_0,微博,微博
WB_202408311044_3257,P_0,微博,微博
WB_202408311812_3258,P_0,微博,微博
WB_202408311228_3259,P_0,微博,微博
WB_202409012113_3260,P_0,微博,微博
WB_202408292053_3261,P_0,微博,微博
DY_202408301253_3262,P_2,抖音,视频
WB_202408291916_3263,P_0,微博,微博
WB_202408300959_3264,P_0,微博,微博
WB_202408312217_3265,P_0,微博,微博
KS_202409012155_3266,P_4,快手,视频
WB_202409011543_3267,P_0,微博,微博
DY_202408312235_3268,P_2,抖音,视频
DY_202408300944_3269,P_2,抖音,视频
WB_202409021000_3270,P_0,微博,微博
WB_202408310803_3271,P_0,微博,微博
WB_202409042123_3272,P_0,微博,微博
DY_202408281721_3273,P_2,抖音,视频
WB_202408312238_3274,P_0,微博,微博
JRTT_202409022129_3275,P_3,今日头条,视频
DY_202408311323_3276,P_2,抖音,视频
WB_202409011847_3277,P_0,微博,微博
