用户ID,平台ID,帖子ID,原文作者,作者ID,根微博作者,认证类型,粉丝数,微博数,信源级别,性别,精准地域
WB_NotErase21716,P_0,WB_202409201515_78,NotErase21716,7934269274,三联生活周刊,普通用户,528,9210.0,未定义,男,江西省
WB_qiongjane48660,P_0,WB_202409201522_79,qiongjane48660,7933907137,三联生活周刊,普通用户,535,6449.0,未定义,男,江西省
WB_zzzling55421,P_0,WB_202409201522_80,zzzling55421,7934361162,三联生活周刊,普通用户,541,10755.0,未定义,男,江西省
WB_wudiwzl60788,P_0,WB_202409201522_83,wudiwzl60788,7934179077,三联生活周刊,普通用户,526,10894.0,未定义,男,江西省
DY_???田幺妹???,P_2,DY_202409201755_84,???田幺妹???,2185987011, ,普通用户,98045,244.0,未定义,无,江西省
WB_wudiwzl60788,P_0,WB_202409201539_85,wudiwzl60788,7934179077,三联生活周刊,普通用户,526,10894.0,未定义,男,江西省
WB_ritchie45530,P_0,WB_202409201539_86,ritchie45530,7934272139,三联生活周刊,普通用户,525,9564.0,未定义,男,江西省
WB_用户7934362172,P_0,WB_202409201539_87,用户7934362172,7934362172,三联生活周刊,普通用户,538,9962.0,未定义,男,江西省
WB_SOPHIA15433943,P_0,WB_202409201535_88,SOPHIA15433943,7933907145,三联生活周刊,普通用户,521,11203.0,未定义,男,江西省
WB_老婆不管娶谁RUNF,P_0,WB_202409201539_89,老婆不管娶谁RUNF,7947158771,三联生活周刊,普通用户,535,7288.0,未定义,女,江西省
WB_hamsoft14966,P_0,WB_202409201543_90,hamsoft14966,7934086182,三联生活周刊,普通用户,534,10771.0,未定义,男,江西省
DY_即离轨道—,P_2,DY_202409221242_91,即离轨道—,86413694203, ,普通用户,4,2.0,未定义,无,其他
DY_可乐味的小阿萌,P_2,DY_202409220919_92,可乐味的小阿萌,14174876, ,普通用户,234,112.0,未定义,无,新疆维吾尔自治区
KS_白咪,P_4,KS_202409210122_93,白咪,1296464325, ,普通用户,78,5.0,未定义,无,江西省
WB_陈枝辉律师,P_0,WB_202409202144_94,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,山东省
WB_陈枝辉律师,P_0,WB_202409202144_95,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,广东省
WB_陈枝辉律师,P_0,WB_202409202144_96,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,广东省
WB_陈枝辉律师,P_0,WB_202409202144_97,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,湖南省
WB_陈枝辉律师,P_0,WB_202409202144_98,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,广东省
WB_陈枝辉律师,P_0,WB_202409202144_99,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,山东省
WB_陈枝辉律师,P_0,WB_202409202144_100,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,广东省
WB_陈枝辉律师,P_0,WB_202409202144_101,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,山东省
WB_陈枝辉律师,P_0,WB_202409202144_102,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,山东省
WB_陈枝辉律师,P_0,WB_202409202144_103,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,山东省
WB_陈枝辉律师,P_0,WB_202409202144_104,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,广东省
WB_陈枝辉律师,P_0,WB_202409202144_105,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,广东省
WB_陈枝辉律师,P_0,WB_202409202144_106,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,广东省
WB_陈枝辉律师,P_0,WB_202409202144_107,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,广东省
WB_陈枝辉律师,P_0,WB_202409202144_108,陈枝辉律师,1731176574, ,个人认证-橙V,241052,5031.0,未定义,男,广东省
