用户ID,作者ID,认证类型,粉丝数,微博数,信源级别,性别,精准地域
WB_玉景荷J-Diamond,7510030145,普通用户,353,5506.0,未定义,女,其他
WB_姒娥,7062310299,普通用户,155,22271.0,未定义,女,浙江省
XHS_土豆老师?,7367146302,普通用户,0,0.0,商业,无,境外
DY_呆呆看书,30683436558,普通用户,129,482.0,商业,无,其他
DY_日本DFM寂眠老师（lol首发冠军辅助）,88445756417,普通用户,0,3330.0,商业,无,浙江省
JRTT_老来找乐,62621563007,普通用户,0,3.0,商业,无,江西省
KS_是胖柚柚吖,698907271,普通用户,361,59.0,商业,无,其他
WB_角落的糯米纸早已生锈,7818492530,普通用户,1,167.0,未定义,女,其他
JRTT_忞謌说故事,3901535359344119, ,0,0.0,商业,无,境外
JRTT_佛系主任,4156578832329032,普通用户,0,0.0,商业,无,河北省
DY_梦幻奶茶JJ, ,普通用户,0,,未定义,无,江西省
DY_天子三牤,fengyunliuyi67,普通用户,688,160.0,商业,无,江西省
XHS_Yuko的文字收集簿,2132009407,普通用户,0,0.0,商业,无,广东省
DY_囍迩,94096008992,普通用户,0,157.0,商业,无,其他
WB_乌鸦战士在海边,6677257949,普通用户,238,4303.0,未定义,男,其他
WB_恶毒的穷鬼,2398988797,普通用户,36,404.0,未定义,男,其他
WB_内蒙Navy副司令吉吉玛,3978610050,普通用户,191,12466.0,未定义,女,浙江省
DY_芷云,sasajiayou,普通用户,500,103.0,商业,无,上海市
XHS_Yuko的文字收集簿,2132009407,普通用户,0,0.0,商业,无,浙江省
WB_乐子人也,5766907756,个人认证-橙V,274497,20414.0,未定义,女,浙江省
DY_@郑  好,xiangqianpao75,普通用户,0,255.0,商业,无,吉林省
DY_月影斜落,93623179131,普通用户,225,324.0,商业,无,其他
DY_蓝律团队,viow,普通用户,65,52.0,商业,无,江西省
KS_篮莓果,4217799122,普通用户,14166,8.0,商业,无,其他
WB_生活使人暴躁2,7489514832,个人认证-橙V,387789,4819.0,未定义,女,其他
WB_坐怀不乱陈世美,7290626551,普通用户,330,8416.0,未定义,男,其他
WB_百里屠苏玩原神导致日本战败,7893469592,普通用户,1583,5719.0,未定义,男,其他
DY_书架子,bookdshelf,普通用户,67,341.0,商业,无,浙江省
DY_日本DFM寂眠老师（lol首发冠军辅助）,88445756417,普通用户,0,3330.0,商业,无,境外
JRTT_竹子爱看书,1348475253174299, ,0,0.0,商业,无,其他
WB_村口门卫,6202820398,普通用户,30,3877.0,未定义,男,广东省
WB_贺贺小草,1118381360,普通用户,1897,14530.0,未定义,女,贵州省
JRTT_万客来调查局,2008181742770035, ,0,,未定义,无,其他
JRTT_趣听故事汇,2650281771537129, ,0,0.0,未定义,无,其他
JRTT_爱思考克里斯蒂0o4Y,1911406241257812, ,0,,未定义,无,其他
WB_你啊啊啊的是田所浩二吗,7757899726,普通用户,74,8528.0,未定义,男,广东省
VX_容许向前冲,rxxqc20231118, ,0,,未定义,无,河南省
WYXW_影探, , ,0,0.0,未定义,无,黑龙江省
WB_碧海云天等风等你,6701096153,普通用户,797,319868.0,未定义,女,贵州省
WB_你别炸鱼了,5532537678,个人认证-橙V,11019,17375.0,未定义,女,贵州省
WB_梨枫兔兔,5538612033,普通用户,2934,52982.0,未定义,女,贵州省
WB_陪希宇长大的小鱼,2257854130,个人认证-橙V,3475,54468.0,未定义,女,贵州省
KS_知雨,3x3ctgfx8dq67cm,普通用户,0,0.0,未定义,无,其他
WB_欧欧欧仪,5864151466,个人认证-橙V,1605,11215.0,未定义,女,贵州省
WB_Hrippy降临小梨,6013697077,个人认证-橙V,1646,14124.0,未定义,女,贵州省
JRTT_月光姐,110282039610,普通用户,0,0.0,未定义,无,辽宁省
WB_Close--明明,3055897725,个人认证-橙V,321,2089.0,未定义,女,重庆市
VX_乐谷百态,Z8880R, ,0,,未定义,无,四川省
JRTT_快乐多亿点点,2984553510082083, ,0,,未定义,无,广东省
WB_浪漫私藏家_,7553996011,个人认证-橙V,38756,31040.0,未定义,女,贵州省
WB_鸢舞舞,5596970907,普通用户,5845,93396.0,未定义,女,贵州省
WB_软糖小慧暖呀,5487887785,个人认证-橙V,13176,17558.0,未定义,女,贵州省
WB_蓝莓薄荷,1497263820,个人认证-橙V,5094,27661.0,未定义,女,贵州省
WB_戳小草的酒窝_,3737914495,普通用户,186,18118.0,未定义,女,贵州省
WB_我要骂人喽,7822532348,普通用户,568,5095.0,未定义,女,贵州省
JRTT_小艾故事汇,1165899906952632, ,0,0.0,未定义,无,其他
WB_坠落星星门,7280954209,普通用户,12544,35789.0,未定义,女,贵州省
WB_贺寻_,6423236559,个人认证-橙V,1434,15895.0,未定义,女,贵州省
WB_劳荣枝工作室official,6599866125,普通用户,101,468.0,未定义,女,广东省
WYXW_三月柳, , ,16,17.0,未定义,无,河南省
JRTT_小艾故事汇,1165899906952632,普通用户,0,0.0,未定义,无,其他
WB_吧唧一口林怼怼-,7424818044,个人认证-橙V,409,7743.0,未定义,女,贵州省
XHS_Meteor的嘻嘻小哈哈,1693474190,普通用户,30,0.0,未定义,无,广东省
JRTT_贵州小芳同学,106581835783, ,0,,未定义,无,其他
WB_别惹原哥,5653468063,个人认证-橙V,27637,30700.0,未定义,女,贵州省
WB_一行猫草,7586949772,普通用户,132,4296.0,未定义,女,贵州省
WB_是暖暖捏-,7305698252,个人认证-橙V,6068,9374.0,未定义,女,贵州省
JRTT_好学星辰G,4391895909017076, ,0,,未定义,无,河北省
JRTT_漫漫,3864143267895428,普通用户,0,0.0,未定义,无,上海市
VX_法律人生路,flrsl63669, ,0,,未定义,无,湖南省
WB_蛋挞边边oO,2142948982,普通用户,989,6498.0,未定义,女,贵州省
WB_芝意爱啃梨,7484624545,普通用户,129,5574.0,未定义,女,贵州省
XHS_~MZ~, ,普通用户,0,0.0,未定义,无,其他
WB_万津ven,6223157935,普通用户,13392,547.0,未定义,男,广东省
XHS_夏安沫,6793880639,普通用户,30,0.0,未定义,无,其他
JRTT_你的情我的感,979003585079219, ,0,,未定义,无,河南省
DY_????星?????,G334334962464,普通用户,1029,14.0,未定义,无,安徽省
DY_知雨,MCYGZL,普通用户,826,106.0,未定义,无,其他
WB_阿木木暮帅,5562585537,普通用户,249,1494.0,未定义,女,广东省
WYXW_影探, ,1000101,0,0.0,未定义,无,黑龙江省
DY_卿卿,junzikouwu,普通用户,799,253.0,未定义,无,河南省
WYXW_嘿哥哥科技, ,1001101,1804,497.0,未定义,无,其他
VX_影探,ttyingtan, ,0,,未定义,无,黑龙江省
JRTT_晓生说大事,117022076187780, ,0,,未定义,无,河北省
DY_初始色的黑白,G123333369,普通用户,13,24.0,未定义,无,其他
JRTT_影探,6387399482,个人加V认证,98958,2785.0,未定义,无,黑龙江省
XHS_舟舟在读书,2600736606,普通用户,1300,0.0,未定义,无,其他
JRTT_蛋啊,1935615447269592, ,0,,未定义,无,河南省
KS_新时代守护明姐,1020573125,普通用户,0,495.0,商业,无,其他
WB_慵懒榴莲在追星威威,7844344406,普通用户,3158,4159.0,未定义,男,境外
JRTT_舟遥青衫,4968170673,普通用户,0,40.0,商业,无,安徽省
WB_不辣菜了,5969436363,普通用户,86456,19102.0,未定义,男,湖北省
KS_肖晴夏.楚优辞（双可）,2825448634,普通用户,0,2.0,商业,无,湖北省
DY_法律有时也无力,29963034639,普通用户,0,0.0,商业,无,江苏省
WB_陈陆今天也鸽鸽鸽_,7278677601,个人认证-橙V,27881,23549.0,未定义,女,湖北省
WB_巡游月球-95,7851011670,普通用户,2,1087.0,未定义,女,湖北省
WB_时影神官的神虾,7281176097,普通用户,329,6253.0,未定义,女,湖北省
WB_天蝎座的米奇Mickey,1316347291,个人认证-橙V,758,7379.0,未定义,女,湖北省
WB_今天份的yue也没有缺席,5312564009,个人认证-橙V,578,16307.0,未定义,女,湖北省
